date,week,team,opp,is_away,season_year
2021-11-21,11,LVR,CIN,0,2021
2021-11-21,11,WAS,CAR,1,2021
2021-11-21,11,BUF,IND,0,2021
2021-11-21,11,CHI,BAL,0,2021
2021-11-21,11,TEN,HOU,0,2021
2021-11-21,11,JAX,SFO,0,2021
2021-11-21,11,NOR,PHI,1,2021
2021-11-21,11,CAR,WAS,0,2021
2021-11-21,11,DET,CLE,1,2021
2021-11-21,11,GNB,MIN,1,2021
2021-11-21,11,NYJ,MIA,0,2021
2021-11-21,11,PHI,NOR,0,2021
2021-11-21,11,PIT,LAC,1,2021
2021-11-21,11,LAC,PIT,0,2021
2021-11-21,11,ARI,SEA,1,2021
2021-11-21,11,KAN,DAL,0,2021
2021-11-21,11,CIN,LVR,1,2021
2021-11-21,11,MIA,NYJ,1,2021
2021-11-21,11,MIN,GNB,0,2021
2021-11-21,11,CLE,DET,0,2021
2021-11-22,11,TAM,NYG,0,2021
2021-11-22,11,NYG,TAM,1,2021
2021-11-25,12,DAL,LVR,0,2021
2021-11-25,12,NOR,BUF,0,2021
2021-11-25,12,CHI,DET,1,2021
2021-11-25,12,LVR,DAL,1,2021
2021-11-25,12,BUF,NOR,1,2021
2021-11-25,12,DET,CHI,0,2021
2021-11-28,12,PIT,CIN,1,2021
2021-11-28,12,BAL,CLE,0,2021
2021-11-28,12,CIN,PIT,0,2021
2021-11-28,12,CLE,BAL,1,2021
2021-11-28,12,LAC,DEN,1,2021
2021-11-28,12,TEN,NWE,1,2021
2021-11-28,12,IND,TAM,0,2021
2021-11-28,12,ATL,JAX,1,2021
2021-11-28,12,CAR,MIA,1,2021
2021-11-28,12,PHI,NYG,1,2021
2021-11-28,12,JAX,ATL,0,2021
2021-11-28,12,LAR,GNB,1,2021
2021-11-28,12,MIN,SFO,1,2021
2021-11-28,12,HOU,NYJ,0,2021
2021-11-28,12,GNB,LAR,0,2021
2021-11-28,12,SFO,MIN,0,2021
2021-11-28,12,DEN,LAC,0,2021
2021-11-28,12,NWE,TEN,0,2021
2021-11-28,12,TAM,IND,1,2021
2021-11-28,12,MIA,CAR,0,2021
2021-11-28,12,NYG,PHI,0,2021
2021-11-28,12,NYJ,HOU,1,2021
2021-11-29,12,SEA,WAS,1,2021
2021-11-29,12,WAS,SEA,0,2021
2021-12-02,13,NOR,DAL,0,2021
2021-12-02,13,DAL,NOR,1,2021
2021-12-05,13,MIN,DET,1,2021
2021-12-05,13,CHI,ARI,0,2021
2021-12-05,13,CIN,LAC,0,2021
2021-12-05,13,HOU,IND,0,2021
2021-12-05,13,NYG,MIA,1,2021
2021-12-05,13,SFO,SEA,1,2021
2021-12-05,13,ATL,TAM,0,2021
2021-12-05,13,NYJ,PHI,0,2021
2021-12-05,13,JAX,LAR,1,2021
2021-12-05,13,DEN,KAN,1,2021
2021-12-05,13,BAL,PIT,1,2021
2021-12-05,13,PIT,BAL,0,2021
2021-12-05,13,LAR,JAX,0,2021
2021-12-05,13,WAS,LVR,1,2021
2021-12-05,13,SEA,SFO,0,2021
2021-12-05,13,MIA,NYG,0,2021
2021-12-05,13,IND,HOU,1,2021
2021-12-05,13,PHI,NYJ,1,2021
2021-12-05,13,DET,MIN,0,2021
2021-12-05,13,LAC,CIN,1,2021
2021-12-05,13,ARI,CHI,1,2021
2021-12-05,13,TAM,ATL,1,2021
2021-12-05,13,LVR,WAS,0,2021
2021-12-05,13,KAN,DEN,0,2021
2021-12-06,13,BUF,NWE,0,2021
2021-12-06,13,NWE,BUF,1,2021
2021-12-09,14,MIN,PIT,0,2021
2021-12-09,14,PIT,MIN,1,2021
2021-12-12,14,WAS,DAL,0,2021
2021-12-12,14,BAL,CLE,1,2021
2021-12-12,14,CIN,SFO,0,2021
2021-12-12,14,CAR,ATL,0,2021
2021-12-12,14,BUF,TAM,1,2021
2021-12-12,14,GNB,CHI,0,2021
