week,opp,rushing_def_rank,receiving_def_rank,passing_def_rank,season_year
7,GNB,22.0,14.0,15.0,2021
7,HOU,32.0,18.0,22.0,2021
7,IND,8.0,25.0,26.0,2021
7,JAX,10.0,21.0,18.0,2021
7,KAN,31.0,26.0,28.0,2021
7,LAC,29.0,2.0,2.0,2021
7,LAR,20.0,24.0,24.0,2021
7,LVR,28.0,12.0,13.0,2021
7,MIA,25.0,31.0,23.0,2021
7,MIN,19.0,5.0,7.0,2021
7,NOR,2.0,6.0,8.0,2021
7,NWE,6.0,16.0,20.0,2021
7,NYG,24.0,23.0,21.0,2021
7,NYJ,26.0,10.0,12.0,2021
7,PHI,30.0,19.0,6.0,2021
7,PIT,7.0,8.0,3.0,2021
7,SEA,27.0,27.0,29.0,2021
7,SFO,18.0,3.0,5.0,2021
7,TAM,1.0,22.0,27.0,2021
7,TEN,14.0,28.0,31.0,2021
7,WAS,15.0,32.0,32.0,2021
8,ARI,19.0,4.0,9.0,2021
8,ATL,12.0,7.0,11.0,2021
8,BAL,5.0,24.0,10.0,2021
8,BUF,3.0,1.0,1.0,2021
8,CAR,16.0,5.0,8.0,2021
8,CHI,27.0,18.0,13.0,2021
8,CIN,7.0,21.0,24.0,2021
8,CLE,6.0,17.0,19.0,2021
8,DAL,4.0,16.0,20.0,2021
8,DEN,13.0,10.0,4.0,2021
8,DET,31.0,25.0,23.0,2021
8,GNB,22.0,12.0,15.0,2021
8,HOU,32.0,22.0,26.0,2021
8,IND,9.0,28.0,27.0,2021
8,JAX,10.0,19.0,17.0,2021
8,KAN,29.0,29.0,30.0,2021
8,LAC,30.0,2.0,2.0,2021
8,LAR,17.0,27.0,25.0,2021
8,LVR,23.0,6.0,7.0,2021
8,MIA,25.0,31.0,22.0,2021
8,MIN,18.0,9.0,12.0,2021
8,NOR,1.0,11.0,14.0,2021
8,NWE,11.0,15.0,18.0,2021
8,NYG,24.0,26.0,21.0,2021
8,NYJ,20.0,14.0,16.0,2021
8,PHI,28.0,13.0,6.0,2021
8,PIT,8.0,8.0,3.0,2021
8,SEA,26.0,23.0,29.0,2021
8,SFO,21.0,3.0,5.0,2021
8,TAM,2.0,20.0,28.0,2021
8,TEN,14.0,30.0,31.0,2021
8,WAS,15.0,32.0,32.0,2021
9,ARI,17.0,6.0,10.0,2021
9,ATL,12.0,8.0,12.0,2021
9,BAL,7.0,26.0,8.0,2021
9,BUF,3.0,1.0,1.0,2021
9,CAR,18.0,4.0,7.0,2021
9,CHI,25.0,17.0,14.0,2021
9,CIN,14.0,23.0,28.0,2021
9,CLE,6.0,18.0,22.0,2021
9,DAL,10.0,16.0,24.0,2021
9,DEN,13.0,12.0,4.0,2021
9,DET,27.0,15.0,16.0,2021
9,GNB,22.0,11.0,13.0,2021
9,HOU,32.0,24.0,29.0,2021
9,IND,4.0,31.0,27.0,2021
9,JAX,5.0,19.0,18.0,2021
9,KAN,29.0,27.0,30.0,2021
9,LAC,31.0,2.0,2.0,2021
9,LAR,16.0,25.0,26.0,2021
9,LVR,24.0,5.0,5.0,2021
9,MIA,20.0,32.0,25.0,2021
9,MIN,21.0,13.0,15.0,2021
9,NOR,2.0,20.0,21.0,2021
9,NWE,8.0,10.0,17.0,2021
9,NYG,23.0,28.0,11.0,2021
9,NYJ,30.0,21.0,23.0,2021
9,PHI,26.0,22.0,9.0,2021
9,PIT,11.0,9.0,3.0,2021
9,SEA,19.0,14.0,20.0,2021
9,SFO,28.0,3.0,6.0,2021
9,TAM,1.0,7.0,19.0,2021
9,TEN,15.0,30.0,32.0,2021
9,WAS,9.0,29.0,31.0,2021
10,ARI,20.0,5.0,7.0,2021
10,ATL,13.0,17.0,21.0,2021
10,BAL,6.0,27.0,11.0,2021
10,BUF,3.0,1.0,1.0,2021
10,CAR,15.0,2.0,5.0,2021
10,CHI,24.0,7.0,9.0,2021
10,CIN,5.0,16.0,18.0,2021
10,CLE,12.0,25.0,29.0,2021
10,DAL,7.0,14.0,20.0,2021
10,DEN,14.0,12.5,4.0,2021
10,DET,29.0,18.0,16.0,2021
10,GNB,19.0,8.0,12.0,2021
10,HOU,30.0,15.0,19.0,2021
10,IND,10.0,29.0,22.0,2021
10,JAX,9.0,20.0,17.0,2021
10,KAN,25.0,28.0,23.0,2021
10,LAC,32.0,3.0,2.0,2021
10,LAR,16.0,24.0,27.0,2021
10,LVR,26.0,11.0,13.0,2021
10,MIA,21.0,32.0,28.0,2021
10,MIN,22.0,12.5,14.0,2021
10,NOR,1.0,22.0,25.0,2021
10,NWE,8.0,9.0,15.0,2021
10,NYG,17.0,21.0,8.0,2021
10,NYJ,31.0,26.0,30.0,2021
10,PHI,28.0,23.0,10.0,2021
10,PIT,18.0,6.0,3.0,2021
10,SEA,23.0,19.0,26.0,2021
10,SFO,27.0,4.0,6.0,2021
10,TAM,2.0,10.0,24.0,2021
10,TEN,11.0,31.0,32.0,2021
10,WAS,4.0,30.0,31.0,2021
11,ARI,19.0,5.0,7.0,2021
11,ATL,14.0,14.0,20.0,2021
11,BAL,5.0,29.0,14.0,2021
11,BUF,9.0,1.0,1.0,2021
11,CAR,22.0,2.0,6.0,2021
11,CHI,24.0,8.0,8.0,2021
11,CIN,2.0,11.0,9.0,2021
11,CLE,16.0,22.0,24.0,2021
11,DAL,8.0,12.0,22.0,2021
11,DEN,11.0,6.0,2.0,2021
11,DET,30.0,15.0,16.0,2021
11,GNB,20.0,18.0,19.0,2021
11,HOU,29.0,21.0,26.0,2021
11,IND,7.0,30.0,25.0,2021
11,JAX,13.0,19.0,17.0,2021
11,KAN,23.0,26.0,23.0,2021
11,LAC,31.0,4.0,3.0,2021
11,LAR,12.0,13.0,15.0,2021
11,LVR,28.0,10.0,10.0,2021
11,MIA,15.0,32.0,29.0,2021
11,MIN,18.0,23.0,27.0,2021
11,NOR,3.0,17.0,18.0,2021
11,NWE,4.0,7.0,13.0,2021
11,NYG,17.0,25.0,11.0,2021
11,NYJ,32.0,27.0,30.0,2021
11,PHI,27.0,24.0,12.0,2021
11,PIT,26.0,16.0,5.0,2021
11,SEA,21.0,20.0,28.0,2021
11,SFO,25.0,3.0,4.0,2021
11,TAM,1.0,9.0,21.0,2021
11,TEN,10.0,28.0,32.0,2021
11,WAS,6.0,31.0,31.0,2021
12,ARI,11.0,2.0,3.0,2021
12,ATL,17.0,12.0,21.0,2021
12,BAL,3.0,28.0,15.0,2021
12,BUF,6.0,1.0,1.0,2021
12,CAR,21.0,3.0,6.0,2021
12,CHI,20.0,7.0,8.0,2021
12,CIN,2.0,14.0,14.0,2021
12,CLE,19.0,16.0,22.0,2021
12,DAL,9.5,13.0,12.0,2021
12,DEN,7.0,8.0,4.0,2021
12,DET,29.0,19.0,18.0,2021
12,GNB,18.0,20.0,26.0,2021
12,HOU,30.0,10.0,19.0,2021
12,IND,14.0,29.0,23.0,2021
12,JAX,15.0,15.0,16.0,2021
12,KAN,16.0,21.0,13.0,2021
12,LAC,32.0,4.0,2.0,2021
12,LAR,9.5,22.0,20.0,2021
12,LVR,26.0,17.0,17.0,2021
12,MIA,13.0,32.0,25.0,2021
12,MIN,27.0,25.0,27.0,2021
12,NOR,5.0,24.0,24.0,2021
12,NWE,12.0,6.0,10.0,2021
12,NYG,25.0,23.0,9.0,2021
12,NYJ,31.0,27.0,30.0,2021
12,PHI,23.0,26.0,11.0,2021
12,PIT,28.0,11.0,5.0,2021
12,SEA,24.0,18.0,29.0,2021
12,SFO,22.0,5.0,7.0,2021
12,TAM,1.0,9.0,28.0,2021
12,TEN,8.0,30.0,32.0,2021
12,WAS,4.0,31.0,31.0,2021
13,ARI,17.0,3.0,4.0,2021
13,ATL,16.0,24.0,28.0,2021
13,BAL,2.0,30.0,17.0,2021
13,BUF,15.0,1.0,1.0,2021
13,CAR,18.0,2.0,3.0,2021
13,CHI,25.0,5.0,7.0,2021
13,CIN,3.0,20.0,18.0,2021
13,CLE,13.0,9.0,11.0,2021
13,DAL,12.0,15.0,14.0,2021
13,DEN,7.0,8.0,2.0,2021
13,DET,29.0,23.0,25.0,2021
13,GNB,9.0,10.0,15.0,2021
13,HOU,32.0,11.0,19.0,2021
13,IND,10.0,28.0,21.0,2021
13,JAX,19.0,17.0,23.0,2021
13,KAN,20.0,18.0,13.0,2021
13,LAC,30.0,7.0,5.0,2021
13,LAR,8.0,12.0,16.0,2021
13,LVR,27.0,16.0,20.0,2021
13,MIA,11.0,32.0,22.0,2021
13,MIN,26.0,25.0,29.0,2021
13,NOR,6.0,22.0,24.0,2021
13,NWE,14.0,4.0,9.0,2021
13,NYG,22.0,21.0,10.0,2021
13,NYJ,31.0,29.0,32.0,2021
13,PHI,21.0,26.0,12.0,2021
13,PIT,28.0,13.0,6.0,2021
13,SEA,23.0,19.0,31.0,2021
13,SFO,24.0,6.0,8.0,2021
13,TAM,1.0,14.0,26.0,2021
13,TEN,5.0,27.0,30.0,2021
13,WAS,4.0,31.0,27.0,2021
14,ARI,14.0,4.0,6.0,2021
14,ATL,16.0,25.0,26.0,2021
14,BAL,1.0,31.0,18.0,2021
14,BUF,19.0,1.0,1.0,2021
14,CAR,20.0,2.0,2.0,2021
14,CHI,25.0,9.0,11.0,2021
14,CIN,3.0,26.0,23.0,2021
14,CLE,15.0,10.0,16.0,2021
14,DAL,13.0,13.0,14.0,2021
14,DEN,10.0,6.0,3.0,2021
14,DET,28.0,22.0,25.0,2021
14,GNB,12.0,7.0,17.0,2021
14,HOU,32.0,11.0,20.0,2021
14,IND,7.0,17.0,10.0,2021
14,JAX,21.0,14.0,19.0,2021
14,KAN,18.0,21.0,9.0,2021
14,LAC,30.0,5.0,4.0,2021
14,LAR,11.0,16.0,22.0,2021
14,LVR,27.0,19.0,21.0,2021
14,MIA,8.0,29.0,13.0,2021
14,MIN,26.0,30.0,31.0,2021
14,NOR,6.0,18.0,24.0,2021
14,NWE,9.0,3.0,5.0,2021
14,NYG,24.0,27.0,15.0,2021
14,NYJ,31.0,28.0,29.0,2021
14,PHI,17.0,12.0,8.0,2021
14,PIT,29.0,15.0,7.0,2021
14,SEA,22.0,23.0,32.0,2021
14,SFO,23.0,8.0,12.0,2021
14,TAM,5.0,20.0,30.0,2021
14,TEN,2.0,24.0,28.0,2021
14,WAS,4.0,32.0,27.0,2021
15,ARI,13.0,4.0,7.0,2021
15,ATL,21.0,26.0,26.0,2021
15,BAL,3.0,31.0,24.0,2021
15,BUF,19.0,1.0,1.0,2021
15,CAR,18.0,3.0,4.0,2021
15,CHI,24.0,6.0,11.0,2021
15,CIN,4.0,24.0,21.0,2021
15,CLE,11.0,9.0,8.0,2021
15,DAL,12.0,14.0,13.0,2021
15,DEN,8.0,5.0,3.0,2021
15,DET,28.0,23.0,27.0,2021
15,GNB,16.0,7.0,18.0,2021
15,HOU,32.0,13.0,20.0,2021
15,IND,5.0,21.0,15.0,2021
15,JAX,17.0,16.0,22.0,2021
15,KAN,23.0,22.0,10.0,2021
15,LAC,29.0,10.0,9.0,2021
15,LAR,10.0,15.0,17.0,2021
15,LVR,27.0,18.0,19.0,2021
15,MIA,7.0,28.0,12.0,2021
15,MIN,25.0,30.0,31.0,2021
15,NOR,6.0,19.0,23.0,2021
15,NWE,14.0,2.0,2.0,2021
15,NYG,26.0,27.0,16.0,2021
15,NYJ,31.0,29.0,30.0,2021
15,PHI,15.0,12.0,6.0,2021
15,PIT,30.0,11.0,5.0,2021
15,SEA,22.0,25.0,32.0,2021
15,SFO,20.0,8.0,14.0,2021
15,TAM,2.0,17.0,28.0,2021
15,TEN,1.0,20.0,25.0,2021
15,WAS,9.0,32.0,29.0,2021
16,ARI,14.0,4.0,7.0,2021
16,ATL,18.0,23.0,24.0,2021
16,BAL,4.0,32.0,29.0,2021
16,BUF,23.0,1.0,1.0,2021
16,CAR,22.0,2.0,3.0,2021
16,CHI,27.0,6.0,10.0,2021
16,CIN,3.0,29.0,14.0,2021
16,CLE,13.0,11.0,11.0,2021
16,DAL,10.0,13.0,13.0,2021
16,DEN,12.0,5.0,2.0,2021
16,DET,28.0,24.0,25.0,2021
16,GNB,21.0,9.0,20.0,2021
16,HOU,32.0,17.0,23.0,2021
16,IND,7.0,20.0,17.0,2021
16,JAX,16.5,10.0,19.0,2021
16,KAN,20.0,21.0,8.0,2021
16,LAC,29.0,12.0,12.0,2021
16,LAR,8.0,19.0,22.0,2021
16,LVR,24.0,14.0,18.0,2021
16,MIA,6.0,22.0,9.0,2021
16,MIN,26.0,30.0,30.0,2021
16,NOR,5.0,18.0,21.0,2021
16,NWE,15.0,3.0,4.0,2021
16,NYG,25.0,25.0,16.0,2021
16,NYJ,31.0,28.0,28.0,2021
16,PHI,11.0,8.0,5.0,2021
16,PIT,30.0,16.0,6.0,2021
16,SEA,19.0,27.0,31.0,2021
16,SFO,16.5,7.0,15.0,2021
16,TAM,1.0,15.0,26.0,2021
16,TEN,2.0,26.0,27.0,2021
16,WAS,9.0,31.0,32.0,2021
17,ARI,7.0,4.0,11.0,2021
17,ATL,25.0,19.0,23.0,2021
17,BAL,3.0,32.0,28.0,2021
17,BUF,21.0,1.0,1.0,2021
17,CAR,19.0,3.0,3.0,2021
17,CHI,26.0,5.0,6.0,2021
17,CIN,5.0,27.0,17.0,2021
17,CLE,17.0,9.0,9.0,2021
17,DAL,10.0,16.0,16.0,2021
17,DEN,13.0,6.0,2.0,2021
17,DET,29.0,26.0,27.0,2021
17,GNB,16.0,8.0,20.0,2021
17,HOU,32.0,21.0,24.0,2021
17,IND,6.0,23.0,10.0,2021
17,JAX,22.0,14.0,22.0,2021
17,KAN,18.0,29.0,19.0,2021
17,LAC,28.0,13.0,13.0,2021
17,LAR,9.0,15.0,21.0,2021
17,LVR,23.0,11.0,15.0,2021
17,MIA,8.0,20.0,8.0,2021
17,MIN,27.0,28.0,30.0,2021
17,NOR,4.0,12.0,18.0,2021
17,NWE,14.0,2.0,4.0,2021
17,NYG,24.0,24.0,14.0,2021
17,NYJ,31.0,30.0,31.0,2021
17,PHI,11.0,10.0,5.0,2021
17,PIT,30.0,17.0,7.0,2021
17,SEA,20.0,25.0,32.0,2021
17,SFO,15.0,7.0,12.0,2021
17,TAM,2.0,18.0,26.0,2021
17,TEN,1.0,22.0,25.0,2021
17,WAS,12.0,31.0,29.0,2021
18,ARI,15.0,4.0,13.0,2021
18,ATL,26.0,18.0,21.0,2021
18,BAL,3.0,32.0,29.0,2021
18,BUF,18.0,1.0,1.0,2021
18,CAR,19.0,3.0,7.0,2021
18,CHI,24.0,5.0,8.0,2021
18,CIN,6.0,26.0,16.0,2021
18,CLE,14.0,7.0,6.0,2021
18,DAL,13.0,15.0,15.0,2021
18,DEN,9.0,6.0,2.0,2021
18,DET,28.0,28.0,27.0,2021
18,GNB,16.0,12.0,23.0,2021
18,HOU,32.0,24.0,25.0,2021
18,IND,5.0,22.0,11.0,2021
18,JAX,22.0,11.0,19.0,2021
18,KAN,21.0,27.0,17.0,2021
18,LAC,29.0,13.0,5.0,2021
18,LAR,12.0,21.0,22.0,2021
18,LVR,23.0,19.0,20.0,2021
18,MIA,11.0,20.0,9.0,2021
18,MIN,25.0,29.0,32.0,2021
18,NOR,4.0,9.0,18.0,2021
18,NWE,7.0,2.0,3.0,2021
18,NYG,27.0,17.0,12.0,2021
18,NYJ,30.0,30.0,31.0,2021
18,PHI,17.0,16.0,10.0,2021
18,PIT,31.0,10.0,4.0,2021
18,SEA,20.0,23.0,30.0,2021
18,SFO,10.0,8.0,14.0,2021
18,TAM,2.0,14.0,24.0,2021
18,TEN,1.0,25.0,26.0,2021
18,WAS,8.0,31.0,28.0,2021
