team,opp,projected_off__pts,date,season_year
IND,TEN,23,2021-09-26,2021
BAL,DET,28,2021-09-26,2021
DET,BAL,20,2021-09-26,2021
BUF,WAS,27,2021-09-26,2021
WAS,BUF,20,2021-09-26,2021
NOR,NWE,23,2021-09-26,2021
NWE,NOR,23,2021-09-26,2021
KAN,LAC,30,2021-09-26,2021
LAC,KAN,23,2021-09-26,2021
NYG,ATL,23,2021-09-26,2021
ATL,NYG,20,2021-09-26,2021
CLE,CHI,27,2021-09-26,2021
CHI,CLE,19,2021-09-26,2021
PIT,CIN,27,2021-09-26,2021
CIN,PIT,20,2021-09-26,2021
LVR,MIA,24,2021-09-26,2021
MIA,LVR,24,2021-09-26,2021
DEN,NYJ,26,2021-09-26,2021
NYJ,DEN,18,2021-09-26,2021
TAM,LAR,26,2021-09-26,2021
LAR,TAM,26,2021-09-26,2021
SEA,MIN,26,2021-09-26,2021
MIN,SEA,24,2021-09-26,2021
SFO,GNB,26,2021-09-26,2021
GNB,SFO,22,2021-09-26,2021
DAL,PHI,28,2021-09-27,2021
PHI,DAL,24,2021-09-27,2021
CIN,JAX,8,2021-09-30,2021
JAX,CIN,2,2021-09-30,2021
WAS,ATL,25,2021-10-03,2021
ATL,WAS,24,2021-10-03,2021
CHI,DET,26,2021-10-03,2021
DET,CHI,20,2021-10-03,2021
TEN,NYJ,27,2021-10-03,2021
NYJ,TEN,21,2021-10-03,2021
CLE,MIN,25,2021-10-03,2021
MIN,CLE,25,2021-10-03,2021
MIA,IND,24,2021-10-03,2021
IND,MIA,22,2021-10-03,2021
DAL,CAR,27,2021-10-03,2021
CAR,DAL,23,2021-10-03,2021
NOR,NYG,27,2021-10-03,2021
NYG,NOR,20,2021-10-03,2021
KAN,PHI,30,2021-10-03,2021
PHI,KAN,24,2021-10-03,2021
BUF,HOU,32,2021-10-03,2021
HOU,BUF,16,2021-10-03,2021
LAR,ARI,30,2021-10-03,2021
ARI,LAR,24,2021-10-03,2021
SFO,SEA,26,2021-10-03,2021
SEA,SFO,23,2021-10-03,2021
DEN,BAL,23,2021-10-03,2021
BAL,DEN,22,2021-10-03,2021
GNB,PIT,27,2021-10-03,2021
PIT,GNB,21,2021-10-03,2021
TAM,NWE,28,2021-10-03,2021
NWE,TAM,22,2021-10-03,2021
LAC,LVR,28,2021-10-04,2021
LVR,LAC,25,2021-10-04,2021
LAR,SEA,26,2021-10-07,2021
SEA,LAR,26,2021-10-07,2021
ATL,NYJ,24,2021-10-10,2021
NYJ,ATL,20,2021-10-10,2021
TAM,MIA,30,2021-10-10,2021
MIA,TAM,20,2021-10-10,2021
CAR,PHI,25,2021-10-10,2021
PHI,CAR,22,2021-10-10,2021
NOR,WAS,22,2021-10-10,2021
WAS,NOR,21,2021-10-10,2021
TEN,JAX,30,2021-10-10,2021
JAX,TEN,22,2021-10-10,2021
MIN,DET,29,2021-10-10,2021
DET,MIN,21,2021-10-10,2021
DEN,PIT,22,2021-10-10,2021
PIT,DEN,20,2021-10-10,2021
GNB,CIN,26,2021-10-10,2021
CIN,GNB,23,2021-10-10,2021
NWE,HOU,25,2021-10-10,2021
HOU,NWE,17,2021-10-10,2021
LVR,CHI,26,2021-10-10,2021
CHI,LVR,19,2021-10-10,2021
LAC,CLE,26,2021-10-10,2021
CLE,LAC,24,2021-10-10,2021
DAL,NYG,28,2021-10-10,2021
NYG,DAL,20,2021-10-10,2021
ARI,SFO,27,2021-10-10,2021
SFO,ARI,25,2021-10-10,2021
KAN,BUF,30,2021-10-10,2021
BUF,KAN,26,2021-10-10,2021
BAL,IND,28,2021-10-11,2021
IND,BAL,22,2021-10-11,2021
TAM,PHI,30,2021-10-14,2021
PHI,TAM,23,2021-10-14,2021
MIA,JAX,24,2021-10-17,2021
JAX,MIA,20,2021-10-17,2021
IND,HOU,27,2021-10-17,2021
HOU,IND,16,2021-10-17,2021
GNB,CHI,25,2021-10-17,2021
CHI,GNB,21,2021-10-17,2021
KAN,WAS,30,2021-10-17,2021
WAS,KAN,24,2021-10-17,2021
MIN,CAR,24,2021-10-17,2021
CAR,MIN,23,2021-10-17,2021
BAL,LAC,26,2021-10-17,2021
LAC,BAL,22,2021-10-17,2021
CIN,DET,26,2021-10-17,2021
DET,CIN,23,2021-10-17,2021
LAR,NYG,28,2021-10-17,2021
NYG,LAR,22,2021-10-17,2021
CLE,ARI,28,2021-10-17,2021
ARI,CLE,25,2021-10-17,2021
DEN,LVR,23,2021-10-17,2021
LVR,DEN,21,2021-10-17,2021
DAL,NWE,24,2021-10-17,2021
NWE,DAL,24,2021-10-17,2021
PIT,SEA,25,2021-10-17,2021
SEA,PIT,23,2021-10-17,2021
BUF,TEN,28,2021-10-18,2021
TEN,BUF,25,2021-10-18,2021
CLE,DEN,25,2021-10-21,2021
DEN,CLE,19,2021-10-21,2021
BAL,CIN,28,2021-10-24,2021
CIN,BAL,20,2021-10-24,2021
CAR,NYG,24,2021-10-24,2021
NYG,CAR,21,2021-10-24,2021
GNB,WAS,29,2021-10-24,2021
WAS,GNB,21,2021-10-24,2021
KAN,TEN,30,2021-10-24,2021
TEN,KAN,26,2021-10-24,2021
ATL,MIA,26,2021-10-24,2021
MIA,ATL,22,2021-10-24,2021
NWE,NYJ,25,2021-10-24,2021
NYJ,NWE,18,2021-10-24,2021
