date,team,opp,stadium_name,roof_type,is_outdoor,avg_windspeed,max_snow_depth,total_precip,avg_temp
2021-10-03,TAM,NWE,Gillette Stadium,Outdoor,1,10.066500000000001,0.0,0.08661422,59.72
2021-10-03,SFO,SEA,Levi's Stadium,Outdoor,1,12.9746,0.0,0.0,73.22
2021-10-03,IND,MIA,Hard Rock Stadium,Outdoor,1,34.0024,0.0,0.01968505,80.6
2021-10-03,BAL,DEN,Empower Field at Mile High,Outdoor,1,15.2116,0.0,0.0,58.64
2021-10-03,WAS,ATL,Mercedes-Benz Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-03,BUF,HOU,New Era Field,Outdoor,1,21.027800000000003,0.0,1.83858367,65.66
2021-10-03,SEA,SFO,Levi's Stadium,Outdoor,1,12.9746,0.0,0.0,73.22
2021-10-03,ARI,LAR,SoFi Stadium,Outdoor,1,10.961300000000001,0.0,0.0,73.94
2021-10-03,NYJ,TEN,MetLife Stadium,Outdoor,1,7.3821,0.0,0.0,67.28
2021-10-03,NYG,NOR,Mercedes-Benz Superdome,Indoor,0,0.0,0.0,0.0,75.0
2021-10-03,KAN,PHI,Lincoln Financial Field,Outdoor,1,17.0012,0.0,0.0,68.9
2021-10-03,GNB,PIT,Lambeau Field,Outdoor,1,14.540500000000002,0.0,0.20078750999999997,65.12
2021-10-03,CLE,MIN,TCF Bank Stadium,Outdoor,1,25.0544,0.0,0.0,62.6
2021-10-03,CHI,DET,Soldier Field,Outdoor,1,19.9093,0.0,0.01968505,71.06
2021-10-03,DAL,CAR,AT&T Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-04,LVR,LAC,SoFi Stadium,Outdoor,1,13.6457,0.0,0.01968505,72.32
2021-10-04,LAC,LVR,SoFi Stadium,Outdoor,1,13.6457,0.0,0.01968505,72.32
2021-10-07,SEA,LAR,CenturyLink Field,Outdoor,1,9.8428,0.0,0.00787402,51.08
2021-10-07,LAR,SEA,CenturyLink Field,Outdoor,1,9.8428,0.0,0.00787402,51.08
2021-10-10,PHI,CAR,Bank of America Stadium,Outdoor,1,33.7787,0.0,0.0,70.52
2021-10-10,ATL,NYJ,Mercedes-Benz Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,BUF,KAN,Arrowhead Stadium,Outdoor,1,40.489700000000006,0.0,0.69685077,73.75999999999999
2021-10-10,NYJ,ATL,Mercedes-Benz Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,NOR,WAS,FedExField,Outdoor,1,21.4752,0.0,0.05905515,66.2
2021-10-10,TAM,MIA,Raymond James Stadium,Outdoor,1,20.133000000000003,0.0,0.0,80.6
2021-10-10,TEN,JAX,TIAA Bank Field,Outdoor,1,29.752100000000002,0.0,0.0,73.94
2021-10-10,NWE,HOU,NRG Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,MIN,DET,TCF Bank Stadium,Outdoor,1,45.187400000000004,0.0,0.03543309,64.22
2021-10-10,PIT,DEN,Heinz Field,Outdoor,1,23.2648,0.0,0.0,65.66
2021-10-10,GNB,CIN,Paul Brown Stadium,Outdoor,1,16.3301,0.0,0.0,70.52
2021-10-10,ARI,SFO,State Farm Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,DAL,NYG,AT&T Stadium,Retractable,0,0.0,0.0,0.0,75.0
2021-10-10,KAN,BUF,Arrowhead Stadium,Outdoor,1,40.489700000000006,0.0,0.69685077,73.75999999999999
2021-10-10,CHI,LVR,Allegiant Stadium,Indoor,0,0.0,0.0,0.0,75.0
