team,opp,projected_off_pts,date,season_year
NOR,TAM,26,2019-10-06,2019
TAM,NOR,21,2019-10-06,2019
HOU,ATL,26,2019-10-06,2019
ATL,HOU,23,2019-10-06,2019
TEN,BUF,20,2019-10-06,2019
BUF,TEN,18,2019-10-06,2019
LAC,DEN,25,2019-10-06,2019
DEN,LAC,19,2019-10-06,2019
DAL,GNB,26,2019-10-06,2019
GNB,DAL,22,2019-10-06,2019
KAN,IND,32,2019-10-06,2019
IND,KAN,22,2019-10-06,2019
SFO,CLE,26,2019-10-07,2019
CLE,SFO,21,2019-10-07,2019
NWE,NYG,31,2019-10-10,2019
NYG,NWE,16,2019-10-10,2019
CAR,TAM,24,2019-10-13,2019
TAM,CAR,22,2019-10-13,2019
BAL,CIN,29,2019-10-13,2019
CIN,BAL,19,2019-10-13,2019
CLE,SEA,24,2019-10-13,2019
SEA,CLE,22,2019-10-13,2019
KAN,HOU,31,2019-10-13,2019
HOU,KAN,23,2019-10-13,2019
JAX,NOR,23,2019-10-13,2019
NOR,JAX,20,2019-10-13,2019
MIN,PHI,24,2019-10-13,2019
PHI,MIN,20,2019-10-13,2019
WAS,MIA,23,2019-10-13,2019
MIA,WAS,18,2019-10-13,2019
LAR,SFO,26,2019-10-13,2019
SFO,LAR,22,2019-10-13,2019
ATL,ARI,25,2019-10-13,2019
ARI,ATL,22,2019-10-13,2019
DAL,NYJ,27,2019-10-13,2019
NYJ,DAL,17,2019-10-13,2019
TEN,DEN,20,2019-10-13,2019
DEN,TEN,20,2019-10-13,2019
LAC,PIT,24,2019-10-13,2019
PIT,LAC,19,2019-10-13,2019
GNB,DET,26,2019-10-14,2019
DET,GNB,20,2019-10-14,2019
KAN,DEN,28,2019-10-17,2019
DEN,KAN,22,2019-10-17,2019
NYG,ARI,26,2019-10-20,2019
ARI,NYG,24,2019-10-20,2019
IND,HOU,24,2019-10-20,2019
HOU,IND,23,2019-10-20,2019
BUF,MIA,29,2019-10-20,2019
MIA,BUF,12,2019-10-20,2019
MIN,DET,22,2019-10-20,2019
DET,MIN,22,2019-10-20,2019
GNB,OAK,27,2019-10-20,2019
OAK,GNB,19,2019-10-20,2019
JAX,CIN,26,2019-10-20,2019
CIN,JAX,22,2019-10-20,2019
LAR,ATL,28,2019-10-20,2019
ATL,LAR,24,2019-10-20,2019
SFO,WAS,26,2019-10-20,2019
WAS,SFO,16,2019-10-20,2019
TEN,LAC,22,2019-10-20,2019
LAC,TEN,19,2019-10-20,2019
SEA,BAL,27,2019-10-20,2019
BAL,SEA,24,2019-10-20,2019
CHI,NOR,21,2019-10-20,2019
NOR,CHI,17,2019-10-20,2019
DAL,PHI,25,2019-10-20,2019
PHI,DAL,22,2019-10-20,2019
NWE,NYJ,26,2019-10-21,2019
NYJ,NWE,16,2019-10-21,2019
MIN,WAS,27,2019-10-24,2019
WAS,MIN,13,2019-10-24,2019
DET,NYG,28,2019-10-27,2019
NYG,DET,21,2019-10-27,2019
TEN,TAM,25,2019-10-27,2019
TAM,TEN,22,2019-10-27,2019
CHI,LAC,22,2019-10-27,2019
LAC,CHI,18,2019-10-27,2019
SEA,ATL,28,2019-10-27,2019
ATL,SEA,26,2019-10-27,2019
JAX,NYJ,23,2019-10-27,2019
NYJ,JAX,18,2019-10-27,2019
PHI,BUF,21,2019-10-27,2019
BUF,PHI,21,2019-10-27,2019
LAR,CIN,29,2019-10-27,2019
CIN,LAR,18,2019-10-27,2019
NOR,ARI,30,2019-10-27,2019
ARI,NOR,19,2019-10-27,2019
HOU,OAK,27,2019-10-27,2019
OAK,HOU,21,2019-10-27,2019
SFO,CAR,24,2019-10-27,2019
CAR,SFO,18,2019-10-27,2019
IND,DEN,24,2019-10-27,2019
DEN,IND,19,2019-10-27,2019
NWE,CLE,29,2019-10-27,2019
CLE,NWE,18,2019-10-27,2019
GNB,KAN,26,2019-10-27,2019
KAN,GNB,22,2019-10-27,2019
PIT,MIA,30,2019-10-28,2019
MIA,PIT,13,2019-10-28,2019
SFO,ARI,22,2019-10-31,2019
ARI,SFO,22,2019-10-31,2019
JAX,HOU,25,2019-11-03,2019
HOU,JAX,22,2019-11-03,2019
BUF,WAS,23,2019-11-03,2019
WAS,BUF,13,2019-11-03,2019
CAR,TEN,22,2019-11-03,2019
TEN,CAR,18,2019-11-03,2019
PHI,CHI,24,2019-11-03,2019
CHI,PHI,21,2019-11-03,2019
MIN,KAN,25,2019-11-03,2019
KAN,MIN,21,2019-11-03,2019
NYJ,MIA,23,2019-11-03,2019
MIA,NYJ,18,2019-11-03,2019
IND,PIT,22,2019-11-03,2019
PIT,IND,22,2019-11-03,2019
OAK,DET,26,2019-11-03,2019
DET,OAK,25,2019-11-03,2019
SEA,TAM,30,2019-11-03,2019
TAM,SEA,24,2019-11-03,2019
CLE,DEN,22,2019-11-03,2019
DEN,CLE,21,2019-11-03,2019
GNB,LAC,25,2019-11-03,2019
LAC,GNB,21,2019-11-03,2019
NWE,BAL,26,2019-11-03,2019
BAL,NWE,21,2019-11-03,2019
DAL,NYG,27,2019-11-04,2019
NYG,DAL,20,2019-11-04,2019
LAC,OAK,25,2019-11-07,2019
OAK,LAC,22,2019-11-07,2019
KAN,TEN,27,2019-11-10,2019
TEN,KAN,21,2019-11-10,2019
CLE,BUF,23,2019-11-10,2019
BUF,CLE,20,2019-11-10,2019
TAM,ARI,30,2019-11-10,2019
ARI,TAM,24,2019-11-10,2019
NYG,NYJ,20,2019-11-10,2019
NYJ,NYG,20,2019-11-10,2019
NOR,ATL,32,2019-11-10,2019
ATL,NOR,18,2019-11-10,2019
BAL,CIN,28,2019-11-10,2019
CIN,BAL,18,2019-11-10,2019
GNB,CAR,27,2019-11-10,2019
CAR,GNB,21,2019-11-10,2019
CHI,DET,24,2019-11-10,2019
DET,CHI,20,2019-11-10,2019
IND,MIA,30,2019-11-10,2019
MIA,IND,14,2019-11-10,2019
LAR,PIT,24,2019-11-10,2019
PIT,LAR,21,2019-11-10,2019
DAL,MIN,24,2019-11-10,2019
MIN,DAL,22,2019-11-10,2019
SFO,SEA,25,2019-11-11,2019
SEA,SFO,19,2019-11-11,2019
CLE,PIT,22,2019-11-14,2019
PIT,CLE,20,2019-11-14,2019
DAL,DET,28,2019-11-17,2019
DET,DAL,24,2019-11-17,2019
NOR,TAM,28,2019-11-17,2019
TAM,NOR,22,2019-11-17,2019
CAR,ATL,30,2019-11-17,2019
ATL,CAR,24,2019-11-17,2019
IND,JAX,24,2019-11-17,2019
JAX,IND,20,2019-11-17,2019
MIN,DEN,24,2019-11-17,2019
DEN,MIN,14,2019-11-17,2019
WAS,NYJ,20,2019-11-17,2019
NYJ,WAS,18,2019-11-17,2019
BUF,MIA,23,2019-11-17,2019
MIA,BUF,16,2019-11-17,2019
BAL,HOU,26,2019-11-17,2019
HOU,BAL,22,2019-11-17,2019
SFO,ARI,29,2019-11-17,2019
ARI,SFO,15,2019-11-17,2019
NWE,PHI,24,2019-11-17,2019
PHI,NWE,22,2019-11-17,2019
OAK,CIN,28,2019-11-17,2019
CIN,OAK,20,2019-11-17,2019
LAR,CHI,25,2019-11-17,2019
CHI,LAR,17,2019-11-17,2019
KAN,LAC,26,2019-11-18,2019
LAC,KAN,22,2019-11-18,2019
HOU,IND,26,2019-11-21,2019
IND,HOU,20,2019-11-21,2019
CLE,MIA,29,2019-11-24,2019
MIA,CLE,16,2019-11-24,2019
BUF,DEN,20,2019-11-24,2019
DEN,BUF,15,2019-11-24,2019
PIT,CIN,24,2019-11-24,2019
CIN,PIT,16,2019-11-24,2019
CHI,NYG,24,2019-11-24,2019
NYG,CHI,17,2019-11-24,2019
OAK,NYJ,25,2019-11-24,2019
NYJ,OAK,22,2019-11-24,2019
NOR,CAR,28,2019-11-24,2019
CAR,NOR,20,2019-11-24,2019
ATL,TAM,28,2019-11-24,2019
TAM,ATL,26,2019-11-24,2019
DET,WAS,22,2019-11-24,2019
WAS,DET,20,2019-11-24,2019
TEN,JAX,22,2019-11-24,2019
JAX,TEN,19,2019-11-24,2019
NWE,DAL,27,2019-11-24,2019
DAL,NWE,20,2019-11-24,2019
SFO,GNB,24,2019-11-24,2019
GNB,SFO,20,2019-11-24,2019
SEA,PHI,26,2019-11-24,2019
PHI,SEA,23,2019-11-24,2019
BAL,LAR,25,2019-11-25,2019
LAR,BAL,24,2019-11-25,2019
CHI,DET,21,2019-11-28,2019
DET,CHI,20,2019-11-28,2019
DAL,BUF,26,2019-11-28,2019
BUF,DAL,18,2019-11-28,2019
NOR,ATL,26,2019-11-28,2019
ATL,NOR,22,2019-11-28,2019
GNB,NYG,27,2019-12-01,2019
NYG,GNB,20,2019-12-01,2019
CAR,WAS,25,2019-12-01,2019
WAS,CAR,16,2019-12-01,2019
BAL,SFO,25,2019-12-01,2019
SFO,BAL,21,2019-12-01,2019
TEN,IND,21,2019-12-01,2019
IND,TEN,21,2019-12-01,2019
PHI,MIA,28,2019-12-01,2019
MIA,PHI,19,2019-12-01,2019
KAN,OAK,32,2019-12-01,2019
OAK,KAN,23,2019-12-01,2019
TAM,JAX,26,2019-12-01,2019
JAX,TAM,23,2019-12-01,2019
NYJ,CIN,22,2019-12-01,2019
CIN,NYJ,19,2019-12-01,2019
LAR,ARI,26,2019-12-01,2019
ARI,LAR,21,2019-12-01,2019
LAC,DEN,20,2019-12-01,2019
DEN,LAC,18,2019-12-01,2019
CLE,PIT,22,2019-12-01,2019
PIT,CLE,19,2019-12-01,2019
NWE,HOU,24,2019-12-01,2019
HOU,NWE,20,2019-12-01,2019
SEA,MIN,26,2019-12-02,2019
MIN,SEA,23,2019-12-02,2019
DAL,CHI,23,2019-12-05,2019
CHI,DAL,20,2019-12-05,2019
BAL,BUF,25,2019-12-08,2019
BUF,BAL,18,2019-12-08,2019
GNB,WAS,28,2019-12-08,2019
WAS,GNB,14,2019-12-08,2019
HOU,DEN,4,2019-12-08,2019
DEN,HOU,4,2019-12-08,2019
NOR,SFO,24,2019-12-08,2019
SFO,NOR,21,2019-12-08,2019
CLE,CIN,27,2019-12-08,2019
CIN,CLE,16,2019-12-08,2019
ATL,CAR,25,2019-12-08,2019
CAR,ATL,24,2019-12-08,2019
MIN,DET,28,2019-12-08,2019
DET,MIN,16,2019-12-08,2019
NYJ,MIA,26,2019-12-08,2019
MIA,NYJ,18,2019-12-08,2019
TAM,IND,26,2019-12-08,2019
IND,TAM,24,2019-12-08,2019
LAC,JAX,23,2019-12-08,2019
JAX,LAC,22,2019-12-08,2019
NWE,KAN,27,2019-12-08,2019
KAN,NWE,24,2019-12-08,2019
PIT,ARI,23,2019-12-08,2019
ARI,PIT,20,2019-12-08,2019
TEN,OAK,24,2019-12-08,2019
OAK,TEN,23,2019-12-08,2019
LAR,SEA,24,2019-12-08,2019
SEA,LAR,22,2019-12-08,2019
PHI,NYG,28,2019-12-09,2019
NYG,PHI,19,2019-12-09,2019
BAL,NYJ,29,2019-12-12,2019
NYJ,BAL,15,2019-12-12,2019
TAM,DET,25,2019-12-15,2019
DET,TAM,22,2019-12-15,2019
PHI,WAS,23,2019-12-15,2019
WAS,PHI,17,2019-12-15,2019
GNB,CHI,24,2019-12-15,2019
CHI,GNB,17,2019-12-15,2019
NWE,CIN,26,2019-12-15,2019
CIN,NWE,14,2019-12-15,2019
TEN,HOU,25,2019-12-15,2019
HOU,TEN,22,2019-12-15,2019
SEA,CAR,27,2019-12-15,2019
CAR,SEA,22,2019-12-15,2019
KAN,DEN,30,2019-12-15,2019
DEN,KAN,17,2019-12-15,2019
NYG,MIA,26,2019-12-15,2019
MIA,NYG,22,2019-12-15,2019
BUF,PIT,18,2019-12-15,2019
PIT,BUF,18,2019-12-15,2019
OAK,JAX,24,2019-12-15,2019
JAX,OAK,20,2019-12-15,2019
CLE,ARI,25,2019-12-15,2019
ARI,CLE,22,2019-12-15,2019
SFO,ATL,29,2019-12-15,2019
ATL,SFO,17,2019-12-15,2019
LAR,DAL,24,2019-12-15,2019
DAL,LAR,24,2019-12-15,2019
MIN,LAC,24,2019-12-15,2019
LAC,MIN,22,2019-12-15,2019
NOR,IND,26,2019-12-16,2019
IND,NOR,18,2019-12-16,2019
SFO,LAR,26,2019-12-21,2019
LAR,SFO,20,2019-12-21,2019
NWE,BUF,22,2019-12-21,2019
BUF,NWE,16,2019-12-21,2019
HOU,TAM,26,2019-12-21,2019
TAM,HOU,26,2019-12-21,2019
DEN,DET,22,2019-12-22,2019
DET,DEN,16,2019-12-22,2019
LAC,OAK,27,2019-12-22,2019
OAK,LAC,20,2019-12-22,2019
ATL,JAX,26,2019-12-22,2019
JAX,ATL,20,2019-12-22,2019
NOR,TEN,26,2019-12-22,2019
TEN,NOR,25,2019-12-22,2019
NYG,WAS,22,2019-12-22,2019
WAS,NYG,20,2019-12-22,2019
PIT,NYJ,21,2019-12-22,2019
NYJ,PIT,18,2019-12-22,2019
CIN,MIA,24,2019-12-22,2019
MIA,CIN,22,2019-12-22,2019
IND,CAR,26,2019-12-22,2019
CAR,IND,20,2019-12-22,2019
BAL,CLE,28,2019-12-22,2019
CLE,BAL,21,2019-12-22,2019
DAL,PHI,24,2019-12-22,2019
PHI,DAL,23,2019-12-22,2019
SEA,ARI,29,2019-12-22,2019
ARI,SEA,19,2019-12-22,2019
KAN,CHI,24,2019-12-22,2019
CHI,KAN,20,2019-12-22,2019
MIN,GNB,26,2019-12-23,2019
GNB,MIN,21,2019-12-23,2019
TEN,HOU,25,2019-12-29,2019
HOU,TEN,24,2019-12-29,2019
CLE,CIN,24,2019-12-29,2019
CIN,CLE,22,2019-12-29,2019
CHI,MIN,24,2019-12-29,2019
MIN,CHI,17,2019-12-29,2019
IND,JAX,23,2019-12-29,2019
JAX,IND,22,2019-12-29,2019
TAM,ATL,26,2019-12-29,2019
ATL,TAM,24,2019-12-29,2019
DAL,WAS,29,2019-12-29,2019
WAS,DAL,15,2019-12-29,2019
NOR,CAR,30,2019-12-29,2019
CAR,NOR,18,2019-12-29,2019
PHI,NYG,24,2019-12-29,2019
NYG,PHI,20,2019-12-29,2019
PIT,BAL,22,2019-12-29,2019
BAL,PIT,19,2019-12-29,2019
NYJ,BUF,21,2019-12-29,2019
BUF,NYJ,16,2019-12-29,2019
NWE,MIA,30,2019-12-29,2019
MIA,NWE,14,2019-12-29,2019
GNB,DET,26,2019-12-29,2019
DET,GNB,16,2019-12-29,2019
KAN,LAC,28,2019-12-29,2019
LAC,KAN,20,2019-12-29,2019
LAR,ARI,28,2019-12-29,2019
ARI,LAR,21,2019-12-29,2019
SFO,SEA,24,2019-12-29,2019
SEA,SFO,24,2019-12-29,2019
DEN,OAK,23,2019-12-29,2019
OAK,DEN,18,2019-12-29,2019
HOU,BUF,22,2020-01-04,2019
BUF,HOU,19,2020-01-04,2019
NWE,TEN,24,2020-01-04,2019
TEN,NWE,18,2020-01-04,2019
NOR,MIN,27,2020-01-05,2019
MIN,NOR,20,2020-01-05,2019
SEA,PHI,23,2020-01-05,2019
PHI,SEA,23,2020-01-05,2019
SFO,MIN,26,2020-01-11,2019
MIN,SFO,20,2020-01-11,2019
BAL,TEN,29,2020-01-11,2019
TEN,BAL,19,2020-01-11,2019
KAN,HOU,28,2020-01-12,2019
HOU,KAN,20,2020-01-12,2019
GNB,SEA,25,2020-01-12,2019
SEA,GNB,22,2020-01-12,2019
SFO,GNB,26,2020-01-19,2019
GNB,SFO,19,2020-01-19,2019
KAN,TEN,30,2020-01-19,2019
TEN,KAN,22,2020-01-19,2019
SFO,KAN,26,2020-02-02,2019
KAN,SFO,26,2020-02-02,2019
