date,week,team,opp
2021-11-14,10,TAM,WAS
2021-11-14,10,ATL,DAL
2021-11-14,10,NYJ,BUF
2021-11-14,10,DET,PIT
2021-11-14,10,NOR,TEN
2021-11-14,10,CLE,NWE
2021-11-14,10,LAC,MIN
2021-11-14,10,JAX,IND
2021-11-14,10,DEN,PHI
2021-11-14,10,SEA,GNB
2021-11-14,10,ARI,CAR
2021-11-15,10,SFO,LAR
2021-11-15,10,LAR,SFO
2021-11-18,11,ATL,NWE
2021-11-18,11,NWE,ATL
2021-11-21,11,IND,BUF
2021-11-21,11,BAL,CHI
2021-11-21,11,SEA,ARI
2021-11-21,11,HOU,TEN
2021-11-21,11,DAL,KAN
2021-11-21,11,SFO,JAX
2021-11-21,11,LVR,CIN
2021-11-21,11,WAS,CAR
2021-11-21,11,BUF,IND
2021-11-21,11,CHI,BAL
2021-11-21,11,TEN,HOU
2021-11-21,11,JAX,SFO
2021-11-21,11,NOR,PHI
2021-11-21,11,CAR,WAS
2021-11-21,11,DET,CLE
2021-11-21,11,GNB,MIN
2021-11-21,11,NYJ,MIA
2021-11-21,11,PHI,NOR
2021-11-21,11,PIT,LAC
2021-11-21,11,LAC,PIT
2021-11-21,11,ARI,SEA
2021-11-21,11,KAN,DAL
2021-11-21,11,CIN,LVR
2021-11-21,11,MIA,NYJ
2021-11-21,11,MIN,GNB
2021-11-21,11,CLE,DET
2021-11-22,11,TAM,NYG
2021-11-22,11,NYG,TAM
2021-11-25,12,DAL,LVR
2021-11-25,12,NOR,BUF
2021-11-25,12,CHI,DET
2021-11-25,12,LVR,DAL
2021-11-25,12,BUF,NOR
2021-11-25,12,DET,CHI
2021-11-28,12,PIT,CIN
2021-11-28,12,BAL,CLE
2021-11-28,12,CIN,PIT
2021-11-28,12,CLE,BAL
2021-11-28,12,LAC,DEN
2021-11-28,12,TEN,NWE
2021-11-28,12,IND,TAM
2021-11-28,12,ATL,JAX
2021-11-28,12,CAR,MIA
2021-11-28,12,PHI,NYG
2021-11-28,12,JAX,ATL
2021-11-28,12,LAR,GNB
2021-11-28,12,MIN,SFO
2021-11-28,12,HOU,NYJ
2021-11-28,12,GNB,LAR
2021-11-28,12,SFO,MIN
2021-11-28,12,DEN,LAC
2021-11-28,12,NWE,TEN
2021-11-28,12,TAM,IND
2021-11-28,12,MIA,CAR
2021-11-28,12,NYG,PHI
2021-11-28,12,NYJ,HOU
2021-11-29,12,SEA,WAS
2021-11-29,12,WAS,SEA
2021-12-02,13,NOR,DAL
2021-12-02,13,DAL,NOR
2021-12-05,13,MIN,DET
2021-12-05,13,CHI,ARI
2021-12-05,13,CIN,LAC
2021-12-05,13,HOU,IND
2021-12-05,13,NYG,MIA
2021-12-05,13,SFO,SEA
2021-12-05,13,ATL,TAM
2021-12-05,13,NYJ,PHI
2021-12-05,13,JAX,LAR
2021-12-05,13,DEN,KAN
2021-12-05,13,BAL,PIT
2021-12-05,13,PIT,BAL
2021-12-05,13,LAR,JAX
2021-12-05,13,WAS,LVR
2021-12-05,13,SEA,SFO
2021-12-05,13,MIA,NYG
2021-12-05,13,IND,HOU
2021-12-05,13,PHI,NYJ
2021-12-05,13,DET,MIN
2021-12-05,13,LAC,CIN
2021-12-05,13,ARI,CHI
2021-12-05,13,TAM,ATL
2021-12-05,13,LVR,WAS
2021-12-05,13,KAN,DEN
2021-12-06,13,BUF,NWE
2021-12-06,13,NWE,BUF
2021-12-09,14,MIN,PIT
2021-12-09,14,PIT,MIN
2021-12-12,14,WAS,DAL
2021-12-12,14,BAL,CLE
2021-12-12,14,CIN,SFO
2021-12-12,14,CAR,ATL
2021-12-12,14,BUF,TAM
2021-12-12,14,GNB,CHI
2021-12-12,14,TAM,BUF
2021-12-12,14,LAC,NYG
2021-12-12,14,NOR,NYJ
2021-12-12,14,KAN,LVR
2021-12-12,14,TEN,JAX
2021-12-12,14,SEA,HOU
2021-12-12,14,DAL,WAS
2021-12-12,14,CLE,BAL
2021-12-12,14,SFO,CIN
2021-12-12,14,ATL,CAR
2021-12-12,14,DEN,DET
