date,week,team,opp,away,season_year
2020-11-01,8,PHI,DAL,0,2020
2020-11-01,8,PIT,BAL,1,2020
2020-11-01,8,MIA,LAR,0,2020
2020-11-01,8,MIN,GNB,1,2020
2020-11-01,8,IND,DET,1,2020
2020-11-01,8,CIN,TEN,0,2020
2020-11-01,8,DET,IND,0,2020
2020-11-01,8,BUF,NWE,0,2020
2020-11-01,8,GNB,MIN,0,2020
2020-11-01,8,LAR,MIA,1,2020
2020-11-01,8,BAL,PIT,0,2020
2020-11-01,8,NWE,BUF,1,2020
2020-11-01,8,TEN,CIN,1,2020
2020-11-01,8,CLE,LVR,0,2020
2020-11-01,8,DAL,PHI,1,2020
2020-11-01,8,CHI,NOR,0,2020
2020-11-01,8,SFO,SEA,1,2020
2020-11-01,8,LAC,DEN,1,2020
2020-11-01,8,NYJ,KAN,1,2020
2020-11-02,8,NYG,TAM,0,2020
2020-11-02,8,TAM,NYG,1,2020
2020-11-05,9,SFO,GNB,0,2020
2020-11-05,9,GNB,SFO,1,2020
2020-11-08,9,BUF,SEA,0,2020
2020-11-08,9,TEN,CHI,0,2020
2020-11-08,9,NYG,WAS,1,2020
2020-11-08,9,LVR,LAC,1,2020
2020-11-08,9,MIA,ARI,1,2020
2020-11-08,9,PIT,DAL,1,2020
2020-11-08,9,NOR,TAM,1,2020
2020-11-08,9,IND,BAL,0,2020
2020-11-08,9,HOU,JAX,1,2020
2020-11-08,9,MIN,DET,0,2020
2020-11-08,9,BAL,IND,1,2020
2020-11-08,9,ATL,DEN,0,2020
2020-11-08,9,KAN,CAR,0,2020
2020-11-08,9,DET,MIN,1,2020
2020-11-08,9,SEA,BUF,1,2020
2020-11-08,9,CHI,TEN,1,2020
2020-11-08,9,WAS,NYG,0,2020
2020-11-08,9,LAC,LVR,0,2020
2020-11-08,9,JAX,HOU,0,2020
2020-11-08,9,ARI,MIA,0,2020
2020-11-08,9,DAL,PIT,0,2020
2020-11-08,9,TAM,NOR,0,2020
2020-11-08,9,DEN,ATL,1,2020
2020-11-08,9,CAR,KAN,1,2020
2020-11-09,9,NYJ,NWE,0,2020
2020-11-09,9,NWE,NYJ,1,2020
2020-11-12,10,TEN,IND,0,2020
2020-11-12,10,IND,TEN,1,2020
2020-11-15,10,TAM,CAR,1,2020
2020-11-15,10,BAL,NWE,1,2020
2020-11-15,10,SEA,LAR,1,2020
2020-11-15,10,SFO,NOR,1,2020
2020-11-15,10,CIN,PIT,1,2020
2020-11-15,10,NWE,BAL,0,2020
2020-11-15,10,LAR,SEA,0,2020
2020-11-15,10,NOR,SFO,0,2020
2020-11-15,10,PIT,CIN,0,2020
2020-11-15,10,HOU,CLE,1,2020
2020-11-15,10,WAS,DET,1,2020
2020-11-15,10,JAX,GNB,1,2020
2020-11-15,10,CAR,TAM,0,2020
2020-11-15,10,PHI,NYG,1,2020
2020-11-15,10,DEN,LVR,1,2020
2020-11-15,10,LAC,MIA,1,2020
2020-11-15,10,ARI,BUF,0,2020
2020-11-15,10,MIA,LAC,0,2020
2020-11-15,10,LVR,DEN,0,2020
2020-11-15,10,CLE,HOU,0,2020
2020-11-15,10,DET,WAS,0,2020
2020-11-15,10,GNB,JAX,0,2020
2020-11-15,10,NYG,PHI,0,2020
2020-11-15,10,BUF,ARI,1,2020
2020-11-16,10,CHI,MIN,0,2020
2020-11-16,10,MIN,CHI,1,2020
2020-11-19,11,SEA,ARI,0,2020
2020-11-19,11,ARI,SEA,1,2020
2020-11-22,11,DET,CAR,1,2020
2020-11-22,11,BAL,TEN,0,2020
2020-11-22,11,NWE,HOU,1,2020
2020-11-22,11,PHI,CLE,1,2020
2020-11-22,11,CIN,WAS,1,2020
2020-11-22,11,ATL,NOR,1,2020
2020-11-22,11,MIA,DEN,1,2020
2020-11-22,11,JAX,PIT,0,2020
2020-11-22,11,GNB,IND,1,2020
2020-11-22,11,LVR,KAN,0,2020
2020-11-22,11,MIN,DAL,0,2020
2020-11-22,11,NYJ,LAC,1,2020
2020-11-22,11,KAN,LVR,1,2020
2020-11-22,11,DAL,MIN,1,2020
2020-11-22,11,IND,GNB,0,2020
2020-11-22,11,LAC,NYJ,0,2020
2020-11-22,11,DEN,MIA,0,2020
2020-11-22,11,TEN,BAL,1,2020
2020-11-22,11,PIT,JAX,1,2020
2020-11-22,11,HOU,NWE,0,2020
2020-11-22,11,CLE,PHI,0,2020
2020-11-22,11,WAS,CIN,0,2020
2020-11-22,11,NOR,ATL,0,2020
2020-11-22,11,CAR,DET,0,2020
2020-11-23,11,LAR,TAM,1,2020
2020-11-23,11,TAM,LAR,0,2020
2020-11-26,12,HOU,DET,1,2020
2020-11-26,12,DAL,WAS,0,2020
2020-11-26,12,DET,HOU,0,2020
2020-11-26,12,WAS,DAL,1,2020
2020-11-29,12,CIN,NYG,0,2020
2020-11-29,12,LAC,BUF,1,2020
2020-11-29,12,LVR,ATL,1,2020
2020-11-29,12,TAM,KAN,0,2020
2020-11-29,12,ATL,LVR,0,2020
2020-11-29,12,BUF,LAC,0,2020
2020-11-29,12,NYG,CIN,1,2020
2020-11-29,12,CLE,JAX,1,2020
2020-11-29,12,TEN,IND,1,2020
2020-11-29,12,NWE,ARI,0,2020
2020-11-29,12,MIA,NYJ,1,2020
2020-11-29,12,MIN,CAR,0,2020
2020-11-29,12,NOR,DEN,1,2020
2020-11-29,12,SFO,LAR,1,2020
2020-11-29,12,KAN,TAM,1,2020
2020-11-29,12,JAX,CLE,0,2020
2020-11-29,12,IND,TEN,0,2020
2020-11-29,12,CHI,GNB,1,2020
2020-11-29,12,NYJ,MIA,0,2020
2020-11-29,12,ARI,NWE,1,2020
2020-11-29,12,LAR,SFO,0,2020
2020-11-29,12,GNB,CHI,0,2020
2020-11-29,12,DEN,NOR,0,2020
2020-11-29,12,CAR,MIN,1,2020
2020-11-30,12,PHI,SEA,0,2020
2020-11-30,12,SEA,PHI,1,2020
2020-12-02,12,BAL,PIT,1,2020
2020-12-02,12,PIT,BAL,0,2020
2020-12-06,13,CLE,TEN,1,2020
2020-12-06,13,IND,HOU,1,2020
2020-12-06,13,MIN,JAX,0,2020
2020-12-06,13,DET,CHI,1,2020
2020-12-06,13,LAR,ARI,1,2020
2020-12-06,13,NYG,SEA,1,2020
2020-12-06,13,NOR,ATL,1,2020
2020-12-06,13,GNB,PHI,0,2020
2020-12-06,13,NWE,LAC,1,2020
2020-12-06,13,KAN,DEN,0,2020
2020-12-06,13,MIA,CIN,0,2020
2020-12-06,13,LVR,NYJ,1,2020
2020-12-06,13,ATL,NOR,0,2020
2020-12-06,13,ARI,LAR,0,2020
2020-12-06,13,DEN,KAN,1,2020
2020-12-06,13,LAC,NWE,0,2020
2020-12-06,13,PHI,GNB,1,2020
2020-12-06,13,SEA,NYG,0,2020
2020-12-06,13,CHI,DET,0,2020
2020-12-06,13,JAX,MIN,1,2020
2020-12-06,13,NYJ,LVR,0,2020
2020-12-06,13,TEN,CLE,0,2020
2020-12-06,13,CIN,MIA,1,2020
2020-12-06,13,HOU,IND,0,2020
