team,opp,projected_pts,date,season_year
BUF,PIT,24,2020-12-13,2020
BAL,CLE,25,2020-12-14,2020
CLE,BAL,23,2020-12-14,2020
LVR,LAC,29,2020-12-17,2020
LAC,LVR,26,2020-12-17,2020
GNB,CAR,30,2020-12-19,2020
CAR,GNB,21,2020-12-19,2020
BUF,DEN,26,2020-12-19,2020
DEN,BUF,22,2020-12-19,2020
IND,HOU,30,2020-12-20,2020
HOU,IND,23,2020-12-20,2020
TEN,DET,30,2020-12-20,2020
DET,TEN,22,2020-12-20,2020
LAR,NYJ,29,2020-12-20,2020
NYJ,LAR,16,2020-12-20,2020
TAM,ATL,26,2020-12-20,2020
ATL,TAM,25,2020-12-20,2020
NWE,MIA,24,2020-12-20,2020
MIA,NWE,20,2020-12-20,2020
SEA,WAS,23,2020-12-20,2020
WAS,SEA,20,2020-12-20,2020
MIN,CHI,27,2020-12-20,2020
CHI,MIN,20,2020-12-20,2020
BAL,JAX,28,2020-12-20,2020
JAX,BAL,18,2020-12-20,2020
CLE,NYG,24,2020-12-20,2020
NYG,CLE,22,2020-12-20,2020
ARI,PHI,27,2020-12-20,2020
PHI,ARI,20,2020-12-20,2020
KAN,NOR,26,2020-12-20,2020
NOR,KAN,24,2020-12-20,2020
SFO,DAL,24,2020-12-20,2020
DAL,SFO,22,2020-12-20,2020
PIT,CIN,26,2020-12-21,2020
CIN,PIT,15,2020-12-21,2020
NOR,MIN,30,2020-12-25,2020
MIN,NOR,23,2020-12-25,2020
TAM,DET,31,2020-12-26,2020
DET,TAM,23,2020-12-26,2020
ARI,SFO,27,2020-12-26,2020
SFO,ARI,24,2020-12-26,2020
MIA,LVR,24,2020-12-26,2020
LVR,MIA,23,2020-12-26,2020
LAC,DEN,26,2020-12-27,2020
DEN,LAC,24,2020-12-27,2020
CLE,NYJ,28,2020-12-27,2020
NYJ,CLE,17,2020-12-27,2020
HOU,CIN,28,2020-12-27,2020
CIN,HOU,19,2020-12-27,2020
IND,PIT,23,2020-12-27,2020
PIT,IND,23,2020-12-27,2020
CHI,JAX,25,2020-12-27,2020
JAX,CHI,22,2020-12-27,2020
CAR,WAS,24,2020-12-27,2020
WAS,CAR,21,2020-12-27,2020
BAL,NYG,28,2020-12-27,2020
NYG,BAL,18,2020-12-27,2020
KAN,ATL,33,2020-12-27,2020
ATL,KAN,20,2020-12-27,2020
SEA,LAR,24,2020-12-27,2020
LAR,SEA,23,2020-12-27,2020
PHI,DAL,25,2020-12-27,2020
DAL,PHI,25,2020-12-27,2020
GNB,TEN,30,2020-12-27,2020
TEN,GNB,26,2020-12-27,2020
BUF,NWE,25,2020-12-28,2020
NWE,BUF,20,2020-12-28,2020
WAS,PHI,23,2021-01-03,2020
PHI,WAS,19,2021-01-03,2020
IND,JAX,31,2021-01-03,2020
JAX,IND,18,2021-01-03,2020
GNB,CHI,27,2021-01-03,2020
CHI,GNB,22,2021-01-03,2020
DAL,NYG,25,2021-01-03,2020
NYG,DAL,22,2021-01-03,2020
CLE,PIT,22,2021-01-03,2020
PIT,CLE,18,2021-01-03,2020
TEN,HOU,30,2021-01-03,2020
HOU,TEN,26,2021-01-03,2020
NOR,CAR,28,2021-01-03,2020
CAR,NOR,22,2021-01-03,2020
NWE,NYJ,26,2021-01-03,2020
NYJ,NWE,17,2021-01-03,2020
MIN,DET,29,2021-01-03,2020
DET,MIN,26,2021-01-03,2020
TAM,ATL,28,2021-01-03,2020
ATL,TAM,22,2021-01-03,2020
BAL,CIN,28,2021-01-03,2020
CIN,BAL,15,2021-01-03,2020
MIA,BUF,24,2021-01-03,2020
BUF,MIA,19,2021-01-03,2020
LAC,KAN,23,2021-01-03,2020
KAN,LAC,22,2021-01-03,2020
SEA,SFO,27,2021-01-03,2020
SFO,SEA,20,2021-01-03,2020
LVR,DEN,27,2021-01-03,2020
DEN,LVR,24,2021-01-03,2020
LAR,ARI,23,2021-01-03,2020
ARI,LAR,19,2021-01-03,2020
BUF,IND,29,2021-01-09,2020
IND,BUF,22,2021-01-09,2020
SEA,LAR,23,2021-01-09,2020
LAR,SEA,18,2021-01-09,2020
TAM,WAS,27,2021-01-09,2020
WAS,TAM,20,2021-01-09,2020
BAL,TEN,30,2021-01-10,2020
TEN,BAL,25,2021-01-10,2020
NOR,CHI,29,2021-01-10,2020
CHI,NOR,19,2021-01-10,2020
PIT,CLE,25,2021-01-10,2020
CLE,PIT,22,2021-01-10,2020
GNB,LAR,27,2021-01-16,2020
LAR,GNB,20,2021-01-16,2020
BAL,BUF,25,2021-01-16,2020
BUF,BAL,25,2021-01-16,2020
CLE,KAN,27,2021-01-17,2020
KAN,CLE,27,2021-01-17,2020
TAM,NOR,25,2021-01-17,2020
NOR,TAM,25,2021-01-17,2020
GNB,TAM,27,2021-01-24,2020
TAM,GNB,24,2021-01-24,2020
KAN,BUF,29,2021-01-24,2020
BUF,KAN,24,2021-01-24,2020
KAN,TAM,29,2021-02-07,2020
TAM,KAN,27,2021-02-07,2020
